"City","Fatalities","Median.Age","Male.Population","Female.Population","Foreign.born","Average.Household.Size","White","Black or African-American","Hispanic or Latino","Asian","American Indian and Alaska Native"
"Los Angeles",252,35,1958998,2012898,1485425,2.86,2177650,404868,1936732,512999,63758
"Houston",179,32.6,1149686,1148942,696210,2.66,1386389,529431,1028148,173854,13157
"Las Vegas",133,37.5,310568,313201,127609,2.79,429142,84987,204913,55745,8456
"Chicago",91,34.2,1320015,1400541,573463,2.53,1374535,873316,785725,195084,23323
"Dallas",78,32.6,639019,661063,326825,2.59,839169,322570,549966,47099,17510
"Phoenix",75,33.8,786833,776168,300702,2.89,1161455,132939,669914,66403,41748
"Fresno",67,30,256130,263942,103453,3.12,325651,46072,256145,75318,11380
"Kansas City",61,35.9,228430,246931,37787,2.35,296623,147739,46037,17061,5796
"San Diego",59,34.5,693826,701081,373842,2.73,949388,111650,425414,267222,16496
"Long Beach",52,34.6,238159,236013,127764,2.78,277962,64948,207890,68095,12841
"Tucson",48,33.6,264893,266781,82220,2.45,404342,33900,231025,24689,24409
"Jacksonville",47,35.7,419203,448828,85650,2.62,543582,282692,80064,50895,8177
"Miami",47,40.4,215840,225149,260789,2.5,338232,87331,319942,4613,1571
"Oakland",40,35.7,203827,215451,113896,2.56,171599,118228,114054,75446,8380
"Portland",39,36.7,313516,318671,86041,2.43,524258,45914,61064,64386,15314
"Denver",38,34.1,341137,341408,113222,2.33,546370,72288,207847,32491,14008
"San Antonio",37,33.1,721405,748419,208046,2.93,1240092,119542,937607,53933,20752
"San Francisco",37,38.3,439752,425064,297199,2.37,442155,53270,132114,324034,8997
"Austin",36,32.7,475718,456122,181686,2.5,708171,81861,327680,78916,10890
"Compton",34,30.1,49264,49184,30660,4.08,53919,26395,67523,1732,298
"Albuquerque",33,36,273323,285808,58200,2.49,411847,26774,271854,25140,32243
"San Jose",32,36.5,518317,508602,401493,3.13,442798,41721,331232,385198,13776
"Bakersfield",31,30.6,182154,191473,71575,3.23,272853,34240,180241,31929,7357
"Seattle",31,35.5,345659,338784,119840,2.13,511401,61974,43060,121507,12804
"Cleveland",29,36,186436,201623,18830,2.24,166958,205395,40603,10102,6140
"New Orleans",29,35.9,185736,203881,21679,2.41,140314,234645,21850,13349,2496
"Columbus",27,33.7,98785,101794,10376,2.62,97436,95366,15180,7039,1343
"Oklahoma City",27,34.1,309227,322036,80165,2.58,462306,111673,117362,33759,41696
"Baltimore",26,34.7,294027,327822,49857,2.51,207274,396270,29953,20161,7730
"Mesa",26,36.9,234998,236835,57492,2.68,413010,22699,131425,14608,16044
"Reno",26,35.7,122292,119151,37070,2.46,197335,9427,59902,20681,3872
"Saint Paul",26,31.5,149547,151293,56514,2.58,191369,54665,27307,58174,6858
"Washington",26,33.8,319705,352523,95117,2.24,285402,328786,71129,35072,6130
"Santa Ana",24,30.8,167503,167920,152999,4.58,163096,5813,262436,37651,4838
"Minneapolis",23,32.4,206547,204388,70769,2.26,277862,89996,39981,33854,9238
"Orlando",23,33.1,130940,139977,50558,2.42,179121,68081,89306,11124,2374
"San Bernardino",23,28.5,108671,107466,55135,3.55,123174,36393,136214,12981,4520
"Stockton",23,32.5,150976,154674,79583,3.16,170878,41161,128216,76859,19834
"Omaha",22,34.2,218789,225098,48263,2.47,353417,64223,63516,19105,6318
"Sacramento",22,33.7,237724,252991,112579,2.73,268151,77439,150153,105063,10145
"Anaheim",21,33.6,179603,171135,137133,3.45,259820,9775,201593,53270,2489
"Inglewood",21,34.9,52995,58661,34171,3.12,33966,44991,60873,2712,1395
